Date,Positive,Negative,Neutral
2024-07-17,14,1,39
2024-07-17,14,1,39
2024-07-17,14,1,39
2024-07-17,14,1,39
2024-07-17,14,1,39
2024-07-17,13,1,40
2024-07-17,13,1,40
2024-07-17,13,1,40
2024-07-17,13,1,40
2024-07-17,13,1,40
